Neurones,Essais,Taux,Erreur,Moyenne
150,100000,0.003, 0.01012157  0.01195359  0.01051424  0.01141641  0.03039889,0.01488094
100,100000,0.005, 0.01188314  0.01099559  0.01055116  0.01025825  0.03421082,0.015579792
125,100000,0.005, 0.01833417  0.02154571  0.02713909  0.01963099  0.02885334,0.023100660000000002
150,100000,0.005, 0.02155302  0.02517252  0.02887592  0.03288162  0.02772716,0.027242047999999998
12,1000000,0.005, 0.05582303  0.05688305  0.05607484  0.05707618  0.01046514,0.047264448
100,10000,0.006, 0.03979447  0.04650305  0.03858401  0.05813866  0.05377336,0.04735871
12,100000,0.01, 0.05890218  0.05953879  0.05793096  0.05972684  0.04058122,0.055335998
100,10000,0.005, 0.05254614  0.06132752  0.06261032  0.05717892  0.05654322,0.05804122399999999
68,10000,0.007, 0.05714294  0.06499995  0.0619779   0.05842452  0.05121067,0.058751196000000006
10,100000,0.005, 0.06907531  0.06196302  0.06219664  0.06848143  0.03213435,0.05877015
100,10000,0.005, 0.06421025  0.05592977  0.05119793  0.0588708   0.06371284,0.058784318
20,100000,0.015, 0.06643916  0.06918057  0.06736196  0.06847776  0.02360808,0.05901350599999999
100,10000,0.006, 0.05420976  0.06268964  0.05973609  0.06889204  0.05573817,0.06025314
65,10000,0.008, 0.07563757  0.06502323  0.04712975  0.05636539  0.05804518,0.060440224
80,10000,0.005, 0.05727402  0.05142146  0.06576974  0.07041633  0.05925861,0.060828032
50,10000,0.01, 0.06090683  0.06056611  0.06641728  0.05966507  0.05756982,0.061025022
50,10000,0.008, 0.06091311  0.06433741  0.06555952  0.06531909  0.05715499,0.06265682400000001
100,10000,0.005, 0.05353919  0.06346756  0.07375749  0.06029282  0.0635893 ,0.06292927200000001
15,10000,0.015, 0.06671632  0.06364643  0.06956864  0.07217227  0.04879838,0.064180408
25,10000,0.01, 0.07100328  0.06423615  0.06576029  0.07617433  0.04759783,0.06495437600000001
50,10000,0.005, 0.07745523  0.0596608   0.06086007  0.07398064  0.06155986,0.06670332
50,10000,0.005, 0.0682217   0.07046846  0.06533134  0.07131708  0.0600229 ,0.067072296
12,10000,0.02, 0.07232611  0.06968448  0.07083598  0.07276951  0.05577541,0.068278298
60,10000,0.005, 0.07002103  0.06265059  0.07731834  0.06104823  0.07065598,0.06833883399999999
25,10000,0.01,0.07421286  0.07198119  0.07377387  0.07103666  0.05272796,0.06874650800000001
50,10000,0.004, 0.06805006  0.06481278  0.07575163  0.07637577  0.06058405,0.069114858
44,10000,0.005, 0.08174973  0.06651232  0.06523428  0.07257683  0.06328814,0.06987225999999999
26,10085,0.008, 0.07738914  0.07127037  0.07506034  0.06865978  0.05797497,0.07007092000000001
150,10000,0.001, 0.06957245  0.06823406  0.06881202  0.08328021  0.06932367,0.071844482
15,10000,0.01, 0.07093697  0.07339097  0.07793545  0.08287201  0.0562478 ,0.07227664
60,10000,0.01, 0.07410277  0.07335972  0.0721481   0.07937391  0.06311543,0.07241998599999999
20,10000,0.005, 0.07076471  0.07700852  0.07739604  0.07824579  0.05907877,0.07249876599999999
20,10000,0.005, 0.07536347  0.07391733  0.08193352  0.07466705  0.05787406,0.07275108599999999
50,10000,0.002, 0.07621239  0.06852836  0.07632728  0.07850697  0.06726674,0.073368348
80,10000,0.002, 0.07291744  0.07296134  0.07935777  0.07383517  0.06779394,0.073373132
13,10000,0.01, 0.08579537  0.07211919  0.07674962  0.08073775  0.05390315,0.073861016
20,10000,0.005, 0.07069753  0.08001113  0.07312204  0.08047169  0.06743563,0.074347604
10,10000,0.01, 0.08780732  0.07609738  0.07743659  0.07329525  0.06677914,0.076283136
50,10000,0.002, 0.08781357  0.08069688  0.08324401  0.06694931  0.06276145,0.07629304399999999
100,10000,0.008, 0.06887743  0.07932166  0.0702405   0.11866056  0.04512044,0.076444118
100,10000,0.002, 0.0755671   0.0688755   0.08614764  0.07780475  0.0756979 ,0.076818578
100,10000,0.001, 0.07751695  0.07270748  0.0942768   0.07600211  0.0658211 ,0.077264888
150,10000,0.001, 0.08654622  0.08357046  0.06890862  0.08274582  0.07367914,0.079090052
10,10000,0.008, 0.09430502  0.07881229  0.08392259  0.0837212   0.06195911,0.080544042
14,10000,0.008, 0.09488879  0.07856382  0.08910014  0.07965971  0.06298651,0.081039794
100,10000,0.001, 0.09751426  0.06920391  0.07161509  0.10574908  0.06477915,0.081772298
100,10000,0.006, 0.06658637  0.06073257  0.15499066  0.05740582  0.06918492,0.081780068
250,10000,0.001, 0.06813063  0.12046383  0.10157799  0.06288521  0.06671875,0.083955282
100,10000,0.01, 0.06668115  0.10936797  0.13935914  0.06402083  0.04195548,0.08427691400000001
50,10000,0.01, 0.10526136  0.07801086  0.10061503  0.08379824  0.05485318,0.08450773399999999
